samplingPoint.notation,determinand.notation,n_observations
SW-50331270,0085,23
SW-50331270,0111,23
SW-50331270,0135,23
SW-50331270,0664,0
SW-50331270,6425,0
SW-50410119,0061,227
SW-50410119,0085,310
SW-50410119,0111,312
SW-50410119,0135,313
SW-50410119,7782,0
SW-50410150,0085,234
SW-50410150,0111,235
SW-50410150,0135,235
SW-50410150,0348,18
SW-50410150,0664,0
SW-50410150,6051,16
SW-50410150,6057,16
SW-50410150,7729,0
SW-50410150,7782,0
SW-50430126,0061,55
SW-50430126,0135,54
SW-50430126,0535,6
SW-50430126,0664,0
SW-50430126,3527,0
SW-50430126,6425,0
SW-50430126,6455,54
SW-50430127,0061,253
SW-50430127,0135,249
SW-50430127,0535,100
SW-50430127,0664,0
SW-50430127,3527,1
SW-50430127,6425,0
SW-50430127,6455,253
SW-50440001,0085,123
SW-50440001,0111,114
SW-50440001,0135,114
SW-50440001,7782,0
SW-50440122,0061,276
SW-50440122,0135,277
SW-50440122,0535,109
SW-50440122,0911,36
SW-50440122,3527,0
SW-50440122,6425,0
SW-50440122,6455,277
SW-50440126,0061,1
SW-50440126,0135,1
SW-50440126,0535,0
SW-50440126,0911,2
SW-50440126,3527,0
SW-50440126,6425,0
SW-50440126,6455,1
SW-50440129,0061,282
SW-50440129,0135,281
SW-50440129,0535,110
SW-50440129,6455,281
SW-50440146,0061,19
SW-50440146,0135,19
SW-50440146,0535,8
SW-50440146,0911,4
SW-50440146,3527,0
SW-50440146,6425,0
SW-50440146,6455,19
SW-50440149,0061,34
SW-50440149,0135,35
SW-50440149,0535,12
SW-50440149,0911,13
SW-50440149,3527,0
SW-50440149,6425,0
SW-50440149,6455,35
SW-50440153,0061,126
SW-50440153,0135,126
SW-50440153,0535,75
SW-50440153,3527,0
SW-50440153,6425,0
SW-50440153,6455,126
SW-50440166,0061,271
SW-50440166,0135,270
SW-50440166,0535,100
SW-50440166,0911,37
SW-50440166,3527,0
SW-50440166,6425,0
SW-50440166,6455,272
SW-50440168,0061,12
SW-50440168,0135,12
SW-50440168,0535,7
SW-50440168,3527,0
SW-50440168,6425,0
SW-50440168,6455,12
SW-50440170,0061,71
SW-50440170,0135,70
SW-50440170,0535,17
SW-50440170,0911,8
SW-50440170,3527,0
SW-50440170,6425,0
SW-50440170,6455,71
SW-50440194,0085,240
SW-50440194,0111,217
SW-50440194,0135,217
SW-50440194,3647,0
SW-50440194,7782,0
SW-50440197,0085,4
SW-50440197,0135,4
SW-50440197,8174,0
SW-50450110,0061,273
SW-50450110,0085,516
SW-50450110,0111,273
SW-50450110,0135,273
SW-50450110,3647,0
SW-50450110,7782,0
SW-50450145,3527,0
SW-50450145,6425,0
SW-50450145,9901,52
SW-50450146,0462,0
SW-50450146,0738,0
SW-50450146,0911,0
SW-50450146,0979,0
SW-50450146,3211,0
SW-50450146,3527,0
SW-50450146,6425,0
SW-50450146,9901,240
SW-50450165,0462,0
SW-50450165,0738,0
SW-50450165,0911,0
SW-50450165,0979,0
SW-50450165,3211,0
SW-50450165,3527,0
SW-50450165,6425,0
SW-50450165,6452,0
SW-50450165,9901,290
SW-50450167,0462,0
SW-50450167,0738,0
SW-50450167,0911,0
SW-50450167,0979,0
SW-50450167,3211,0
SW-50450167,3527,1
SW-50450167,6425,0
SW-50450167,6452,0
SW-50450167,9901,291
SW-50459901,2928,3
SW-50459901,2932,3
SW-50459901,2933,3
SW-50459901,2934,3
SW-50459901,3647,0
SW-50459901,8174,0
SW-50510190,0061,192
SW-50510190,0085,304
SW-50510190,0111,304
SW-50510190,0135,304
SW-50510190,0664,0
SW-50510190,3647,0
SW-50510190,7729,0
SW-50510190,7782,0
SW-50510192,0085,3
SW-50510192,0135,3
SW-50510192,3647,0
SW-50510192,8174,0
SW-50520131,0061,281
SW-50520131,0085,289
SW-50520131,0111,289
SW-50520131,0135,289
SW-50520131,0664,0
SW-50520131,3647,0
SW-50520131,7729,0
SW-50520131,7782,0
SW-50520233,3527,0
SW-50520233,6425,0
SW-50520233,9901,269
SW-50530190,0085,310
SW-50530190,0111,310
SW-50530190,0135,310
SW-50530190,0348,73
SW-50530190,0664,0
SW-50530190,3647,0
SW-50530190,6051,73
SW-50530190,7729,0
SW-50530190,7782,0
SW-50540137,0061,261
SW-50540137,0135,262
SW-50540137,0535,107
SW-50540137,0664,0
SW-50540137,3527,12
SW-50540137,6425,0
SW-50540137,6455,264
SW-50540139,0061,247
SW-50540139,0135,248
SW-50540139,0535,95
SW-50540139,0664,0
SW-50540139,3527,8
SW-50540139,6425,0
SW-50540139,6455,249
SW-50540184,0085,2
SW-50540184,0135,2
SW-50540184,8174,0
SW-50540186,0061,292
SW-50540186,0085,309
SW-50540186,0111,309
SW-50540186,0135,309
SW-50540186,0664,0
SW-50540186,3647,0
SW-50540186,7729,0
SW-50540186,7782,0
SW-50550330,0061,236
SW-50550330,0085,236
SW-50550330,0111,236
SW-50550330,0135,236
SW-50550330,0664,0
SW-50550330,7782,0
SW-50550374,0085,312
SW-50550374,0111,312
SW-50550374,0135,312
SW-50550374,0348,48
SW-50550374,6051,48
SW-50550374,7729,0
SW-50550374,7782,0
SW-50570001,0061,41
SW-50570001,0135,40
SW-50570001,0664,41
SW-50570001,3527,0
SW-50570001,6051,40
SW-50570001,6425,0
SW-50570150,0061,282
SW-50570150,0135,280
SW-50570150,0535,108
SW-50570150,0911,31
SW-50570150,3527,0
SW-50570150,6425,0
SW-50570150,6455,283
SW-50570152,0061,9
SW-50570152,0135,8
SW-50570152,0535,6
SW-50570152,0911,2
SW-50570152,3527,0
SW-50570152,6425,0
SW-50570152,6455,8
SW-50570155,0061,4
SW-50570155,0135,4
SW-50570155,0535,3
SW-50570155,6455,4
SW-50570160,0061,5
SW-50570160,0135,5
SW-50570160,0535,5
SW-50570160,6455,5
SW-50570220,0061,219
SW-50570220,0135,219
SW-50570220,0535,95
SW-50570220,0911,36
SW-50570220,6425,0
SW-50570220,6455,219
SW-50570239,0061,310
SW-50570239,0085,734
SW-50570239,0111,429
SW-50570239,0135,429
SW-50570239,0348,315
SW-50570239,3647,0
SW-50570239,6051,378
SW-50570239,6452,159
SW-50570239,7782,0
SW-50570246,0085,1
SW-50570246,0135,1
SW-50570386,0061,47
SW-50570386,0135,46
SW-50570386,0535,3
SW-50570386,0664,0
SW-50570386,3527,0
SW-50570386,6425,0
SW-50570386,6455,47
SW-50570388,0061,43
SW-50570388,0135,41
SW-50570388,0535,9
SW-50570388,0664,0
SW-50570388,3527,0
SW-50570388,6425,0
SW-50570388,6455,42
SW-50570390,0061,264
SW-50570390,0135,263
SW-50570390,0535,105
SW-50570390,0664,0
SW-50570390,3527,0
SW-50570390,6425,0
SW-50570390,6455,263
SW-50570392,0061,263
SW-50570392,0135,260
SW-50570392,0535,98
SW-50570392,0664,0
SW-50570392,3527,0
SW-50570392,6425,0
SW-50570392,6455,261
SW-50580170,0061,255
SW-50580170,0135,274
SW-50580170,0535,104
SW-50580170,0664,0
SW-50580170,3527,0
SW-50580170,6425,0
SW-50580170,6455,273
SW-50580185,0085,306
SW-50580185,0111,307
SW-50580185,0135,307
SW-50580185,0664,0
SW-50580185,3647,0
SW-50580185,7782,0
SW-50580187,0085,0
SW-50580187,0135,0
SW-50580187,2928,1
SW-50580187,2932,1
SW-50580187,2933,1
SW-50580187,2934,1
SW-50580187,3647,0
SW-50580187,8174,0
SW-50590008,0061,39
SW-50590008,0135,37
SW-50590008,0664,36
SW-50590008,3527,0
SW-50590008,6425,0
SW-50590144,0085,143
SW-50590144,0111,143
SW-50590144,0135,143
SW-50590144,7782,0
SW-50590229,0061,266
SW-50590229,0085,560
SW-50590229,0111,316
SW-50590229,0135,316
SW-50590229,0348,282
SW-50590229,6051,234
SW-50590229,7782,0
SW-50900130,2928,3
SW-50900130,2932,3
SW-50900130,2933,3
SW-50900130,2934,3
SW-50900130,3647,0
SW-50900130,7444,0
SW-50900130,8174,0
SW-50900722,0085,397
SW-50900722,0111,312
SW-50900722,0135,312
SW-50900722,0348,52
SW-50900722,0664,0
SW-50900722,3647,0
SW-50900722,6051,52
SW-50900722,7782,0
SW-50900956,0085,309
SW-50900956,0111,309
SW-50900956,0135,309
SW-50900956,7782,0
SW-50950147,0085,200
SW-50950147,0111,201
SW-50950147,0135,199
SW-50950147,6425,0
SW-50950351,0061,299
SW-50950351,0085,403
SW-50950351,0111,313
SW-50950351,0135,312
SW-50950351,3647,0
SW-50950351,7782,0
SW-50950709,0061,652
SW-50950709,0085,1254
SW-50950709,0108,258
SW-50950709,0111,660
SW-50950709,0135,648
SW-50950709,0511,70
SW-50950709,3328,63
SW-50950709,3334,150
SW-50950709,3373,55
SW-50950709,3647,0
SW-50950709,5565,0
SW-50950709,6051,480
SW-50950709,6057,585
SW-50950709,6452,258
SW-50950709,6455,254
SW-50950709,6462,253
SW-50950709,7782,0
SW-50950709,9686,421
SW-50951080,0085,404
SW-50951080,0111,315
SW-50951080,0135,315
SW-50951080,0664,0
SW-50951080,3647,0
SW-50951080,7782,0
SW-50951082,0085,0
SW-50951082,0111,0
SW-50951082,0135,0
SW-50951082,0664,0
SW-50951082,2928,1
SW-50951082,2932,1
SW-50951082,2933,1
SW-50951082,2934,1
SW-50951082,3647,0
SW-50951082,7782,0
SW-50951082,8174,0
SW-50959901,2928,2
SW-50959901,2932,2
SW-50959901,2933,2
SW-50959901,2934,2
SW-50959901,3647,0
SW-50959901,8174,0
SW-6WXE0529,8174,0
SW-C0844000,0061,219
SW-C0844000,0072,237
SW-C0844000,0085,246
SW-C0844000,0111,246
SW-C0844000,0135,247
SW-C0844000,0664,0
SW-C0844000,6396,248
SW-C0844000,6425,0
SW-C0844000,9901,218
SW-C7010000,0061,276
SW-C7010000,0135,273
SW-C7010000,0535,111
SW-C7010000,0911,48
SW-C7010000,3527,0
SW-C7010000,6425,0
SW-C7010000,6455,273
SW-C7018000,0061,59
SW-C7018000,0135,59
SW-C7018000,0535,7
SW-C7018000,6455,60
SW-C7019001,0061,125
SW-C7019001,0135,128
SW-C7019001,0535,21
SW-C7019001,6455,129
SW-C7021001,0061,92
SW-C7021001,0135,92
SW-C7021001,0535,0
SW-C7021001,6455,92
SW-C7022000,0061,122
SW-C7022000,0135,121
SW-C7022000,0535,77
SW-C7022000,0664,0
SW-C7022000,3527,1
SW-C7022000,6425,0
SW-C7022000,6455,122
SW-C7022001,0061,51
SW-C7022001,0135,50
SW-C7022001,0535,8
SW-C7022001,0664,0
SW-C7022001,3527,0
SW-C7022001,6425,0
SW-C7022001,6455,51
