permit_ref,version,effective_date,revocation_date
040015,1,1984-07-04,2006-03-29
040015,2,2006-03-30,2009-03-31
040015,3,2009-04-01,2010-03-30
040015,4,2010-03-31,2021-06-06
040015,5,2021-06-07,2022-01-19
040015,6,2022-01-20,2022-03-29
040015,7,2022-03-30,
040067,1,1984-07-06,2006-03-29
040067,2,2006-03-30,2009-03-31
040067,3,2009-04-01,2010-03-30
040067,4,2010-03-31,2025-09-10
040067,5,2025-09-10,
040070,1,,
040070,2,,
040091,1,,
040109,1,1985-07-20,2009-12-31
040109,2,2010-01-01,
040111,1,1985-06-17,2006-03-29
040111,2,2006-03-30,2009-03-31
040111,3,2009-04-01,2010-03-30
040111,4,2010-03-31,
040136,1,,
040725,1,1989-04-25,2006-03-29
040725,2,2006-03-30,2009-03-31
040725,3,2009-04-01,2010-03-30
040725,4,2010-03-31,2018-09-19
040725,5,2018-09-20,2022-03-24
040725,6,2022-03-25,2026-03-31
040725,7,2026-03-31,
041324,1,1989-12-20,2003-04-01
041324,2,2003-04-02,2005-12-30
041324,3,2005-12-31,2009-03-31
041324,4,2009-04-01,2010-03-30
041324,5,2010-03-31,2015-06-28
041324,6,2015-06-29,2016-09-13
041324,7,2016-09-14,2022-02-09
041324,8,2022-02-10,2022-03-30
041324,9,2022-03-31,
041350,1,,
041350,2,,
041353,1,1989-11-16,2006-03-29
041353,2,2006-03-30,2009-03-31
041353,3,2009-04-01,2010-03-30
041353,4,2010-03-31,2019-11-25
041353,5,2019-11-26,2020-03-30
041353,6,2020-03-31,
041444,1,1990-01-01,
041518,1,1993-12-10,
041519,1,1993-12-10,
041639,1,,
041639,2,,
042116,1,1992-06-24,2006-03-29
042116,2,2006-03-30,2009-03-31
042116,3,2009-04-01,2010-03-30
042116,4,2010-03-31,
042451,1,1993-07-30,2005-12-30
042451,2,2005-12-31,2009-03-31
042451,3,2009-04-01,2010-03-30
042451,4,2010-03-31,2018-09-19
042451,5,2018-09-20,2022-01-05
042451,6,2022-01-06,2022-03-30
042451,7,2022-03-31,2026-03-31
042451,8,2026-03-31,2026-06-10
042453,1,1992-12-23,2006-03-29
042453,2,2006-03-30,2009-03-31
042453,3,2009-04-01,2010-03-30
042453,4,2010-03-31,2018-03-30
042453,5,2018-03-31,2025-12-31
042453,6,2025-12-31,
043091,1,,
043091,2,,
043091,3,,
043091,4,,
043231,1,1996-03-29,2011-09-14
043231,2,2011-09-15,
043232,1,1996-03-29,2011-09-14
043232,2,2011-09-15,
043233,1,1996-03-29,2011-09-14
043233,2,2011-09-15,
043234,1,1996-03-29,2011-09-14
043234,2,2011-09-15,
043235,1,1996-03-29,2011-09-14
043235,2,2011-09-15,
043236,1,1996-03-29,2011-09-14
043236,2,2011-09-15,
043238,1,,
043241,1,,
043244,1,,
043245,1,,
043246,1,,
043259,1,,
043260,1,1996-03-29,2011-09-14
043260,2,2011-09-15,
043276,1,,
043462,1,1996-03-29,2011-09-14
043462,2,2011-09-15,
043463,1,1996-03-29,2011-09-14
043463,2,2011-09-15,
043478,1,,
050753,1,1986-09-01,
051340,1,,
400505,1,1998-09-10,2011-09-14
400505,2,2011-09-15,
400607,1,2000-05-15,2006-03-29
400607,2,2006-03-30,2009-03-31
400607,3,2009-04-01,2010-03-29
400607,4,2010-03-30,2010-03-30
400607,5,2010-03-31,2020-02-13
400607,6,2020-02-14,2025-09-10
400607,7,2025-09-10,
401025,1,2001-04-30,2009-03-31
401025,2,2009-04-01,2010-03-30
401025,3,2010-03-31,2020-02-13
401025,4,2020-02-14,
401050,1,2002-04-01,2005-12-30
401050,2,2005-12-31,2009-03-31
401050,3,2009-04-01,2009-10-15
401050,4,2009-10-16,2010-03-30
401050,5,2010-03-31,
401056,1,2002-07-24,2011-09-14
401056,2,2011-09-15,
401057,1,2002-07-24,2011-09-14
401057,2,2011-09-15,
401058,1,2002-07-24,2011-09-14
401058,2,2011-09-15,
401059,1,2002-07-24,2011-09-14
401059,2,2011-09-15,
401060,1,2002-07-24,2011-09-14
401060,2,2011-09-15,
401223,1,2002-01-21,2011-09-14
401223,2,2011-09-15,2016-02-03
401223,3,2016-02-04,
401242,1,2003-04-01,2009-03-31
401242,2,2009-04-01,2010-03-30
401242,3,2010-03-31,2010-03-31
401242,4,2010-04-01,2021-12-30
401242,5,2021-12-31,2023-03-30
401242,6,2023-03-31,
401336,1,2003-06-06,2009-03-31
401336,2,2009-04-01,2010-03-30
401336,3,2010-03-31,2010-03-31
401336,4,2010-04-01,2017-01-25
401336,5,2017-01-26,2021-12-16
401336,6,2021-12-17,2022-03-30
401336,7,2022-03-31,2024-07-09
401336,8,2024-07-10,
401354,1,2003-04-01,2003-07-29
401354,2,2003-07-30,2008-12-30
401354,3,2008-12-31,2009-03-31
401354,4,2009-04-01,2010-03-30
401354,5,2010-03-31,2010-03-31
401354,6,2010-04-01,2011-08-10
401354,7,2011-08-11,2012-04-09
401354,8,2012-04-10,2012-09-13
401354,9,2012-09-14,
401521,1,2004-09-01,2009-03-31
401521,2,2009-04-01,
401747,1,2006-05-01,2009-03-31
401747,2,2009-04-01,2010-03-30
401747,3,2010-03-31,
402100,1,2006-07-13,2009-03-31
402100,2,2009-04-01,2010-03-10
402100,3,2010-03-11,2013-06-29
402100,4,2013-06-30,
402270,1,2007-05-04,
