sp_notation,n_observations,n_determinands
SW-50331270,123,12
SW-50410119,1382,12
SW-50410150,986,15
SW-50410164,4922,47
SW-50419999,137,33
SW-5041GW03,5711,327
SW-50429999,62,10
SW-50430109,2231,27
SW-50430126,356,16
SW-50430127,1269,18
SW-50430144,3538,35
SW-50439999,214,35
SW-5043GW06,2425,294
SW-50440001,511,9
SW-50440119,3784,32
SW-50440122,1305,13
SW-50440126,81,7
SW-50440129,1324,13
SW-50440130,378,16
SW-50440146,445,10
SW-50440149,501,12
SW-50440153,900,19
SW-50440158,1122,74
SW-50440166,1226,16
SW-50440168,427,10
SW-50440170,575,11
SW-50440180,2,1
SW-50440194,930,11
SW-50440197,42,14
SW-50449999,68,24
SW-5044GW01,4748,304
SW-5044GW02,5139,345
SW-50450110,1800,14
SW-50450129,18959,224
SW-50450145,623,12
SW-50450146,1991,12
SW-50450150,2852,34
SW-50450165,2295,12
SW-50450167,2306,13
SW-50450172,2177,12
SW-50450320,1458,31
SW-50459901,24,8
SW-50459999,594,57
SW-50510190,1329,12
SW-50510192,24,14
SW-50520131,1339,12
SW-50520233,2640,29
SW-50520237,2019,11
SW-50530138,2969,33
SW-50530190,1297,14
SW-50530197,4886,40
SW-50539999,360,21
SW-50540127,2672,36
SW-50540137,1308,19
SW-50540139,1144,12
SW-50540170,766,21
SW-50540184,19,14
SW-50540186,1430,9
SW-5054GW01,4859,334
SW-50550130,3176,41
SW-50550158,4610,37
SW-50550310,4469,55
SW-50550330,1051,8
SW-50550362,2318,27
SW-50550374,1284,15
SW-5055GW01,5263,376
SW-5055GW07,5308,347
SW-5055GW08,4747,339
SW-50569999,263,71
SW-5056GW05,5824,350
SW-5056GW07,6154,353
SW-50570001,246,5
SW-50570145,798,21
SW-50570150,1374,27
SW-50570152,435,26
SW-50570155,384,9
SW-50570160,335,25
SW-50570219,290,58
SW-50570220,1043,11
SW-50570225,321,9
SW-50570239,4778,36
SW-50570246,10,10
SW-50570251,3193,99
SW-50570384,316,10
SW-50570386,324,10
SW-50570388,390,34
SW-50570390,1479,35
SW-50570392,1487,34
SW-50579999,696,122
SW-5057GW01,2818,280
SW-50580145,4001,41
SW-50580170,1319,18
SW-50580183,2106,27
SW-50580185,1179,12
SW-50580187,8,8
SW-50589999,461,58
SW-5058GW01,5312,335
SW-50590008,128,15
SW-50590127,27511,431
SW-50590144,509,9
SW-50590188,4100,46
SW-50590203,1934,37
SW-50590229,2697,23
SW-50590907,886,25
SW-50599999,711,169
SW-50900130,24,8
SW-50900712,4098,39
SW-50900722,1693,21
SW-50900956,1147,7
SW-50908888,256,36
SW-50909999,198,25
SW-50950147,690,14
SW-50950270,8387,52
SW-50950300,8500,55
SW-50950351,1875,20
SW-50950709,15698,57
SW-50951010,5520,64
SW-50951080,1386,13
SW-50951082,8,8
SW-50951085,631,14
SW-50958888,905,108
SW-50959901,16,8
SW-50959999,1978,185
SW-6WXE0529,8,8
SW-C0538000,4938,41
SW-C0844000,1858,13
SW-C4005700,38,13
SW-C7010000,1258,12
SW-C7018000,508,17
SW-C7019001,644,17
SW-C7021001,497,8
SW-C7022000,966,18
SW-C7022001,320,16
SW-GWECO142,26,11
SW-GWECO143,25,11
SW-GWECO145,26,11
SW-GWW18D01,69,69
SW-GWW18D02,69,69
SW-GWW18D08,16,16
SW-GWW18S12,1,1
SW-LSN0030,462,19
SW-LSN366,236,18
SW-PLHABOUT,61,13
SW-RSN0029,2372,117
SW-RSN0285,410,18
SW-RSN0397,390,18
SW-RSN0621,246,18
SW-RSN0653,249,18
SW-RSN0845,185,16
SW-RSN1197,959,117
SW-RSN1389,1374,118
SW-RSN1685,486,18
SW-RSN1925,78,17
SW-RSN2045,330,17
SW-RSN2213,403,19
SW-RTN0044,50,5
SW-RTN0045,50,5
SW-SSN0512,42,19
SW-SSN1532,380,111
SW-SSN1536,381,110
SW-SSN1808,80,21
